TIME,TYPE,TEMPERATURE,PRESSURE,HUMIDITY
2019-06-14 13:43:06,AVG,20.78,1009.22,60.28
2019-06-14 13:43:26,AVG,20.78,1010.30,60.44
2019-06-14 13:43:46,AVG,20.78,1010.30,60.59
2019-06-14 13:44:06,AVG,20.78,1010.30,59.81
2019-06-14 13:44:26,AVG,20.78,1010.30,60.59
2019-06-14 13:44:46,AVG,20.78,1010.30,60.12
2019-06-14 13:45:06,AVG,20.78,1010.30,60.44
2019-06-14 13:45:26,AVG,20.78,1010.30,61.07
2019-06-14 13:45:46,AVG,20.78,1010.30,60.44
2019-06-14 13:46:06,AVG,20.78,1010.30,60.59
2019-06-14 13:46:26,AVG,20.78,1010.30,61.54
2019-06-14 13:46:46,AVG,20.78,1010.30,60.75
2019-06-14 13:47:06,AVG,20.78,1010.30,60.91
2019-06-14 13:47:26,AVG,20.78,1009.22,60.75
2019-06-14 13:47:46,AVG,20.78,1010.30,60.59
2019-06-14 13:48:06,AVG,20.78,1010.30,60.75
2019-06-14 13:48:26,AVG,20.78,1009.22,60.59
2019-06-14 13:48:46,AVG,20.78,1010.30,60.91
2019-06-14 13:49:06,AVG,20.78,1010.30,61.54
2019-06-14 13:49:26,AVG,20.78,1010.30,60.75
2019-06-14 13:49:46,AVG,20.78,1010.30,60.59
2019-06-14 13:50:06,AVG,20.78,1010.30,61.07
2019-06-14 13:50:26,AVG,20.78,1010.30,60.75
2019-06-14 13:50:46,AVG,20.78,1010.30,60.59
2019-06-14 13:51:06,AVG,20.78,1010.30,61.07
2019-06-14 13:51:26,AVG,20.78,1010.30,61.07
2019-06-14 13:51:46,AVG,20.78,1010.30,60.12
2019-06-14 13:52:06,AVG,20.78,1010.30,60.91
2019-06-14 13:52:26,AVG,20.78,1010.30,60.28
2019-06-14 13:52:46,AVG,20.78,1010.30,60.59
2019-06-14 13:53:06,AVG,20.78,1010.30,60.91
2019-06-14 13:53:26,AVG,20.78,1010.30,60.59
